Theta1,Theta2,Lambda1,Lambda2
1.0471975511965976,-1.0471975511965976,6.764169150860404,2.049975098866222
1.047214655271265,-1.0471861484801528,6.765069099271933,2.0502966583130475
1.0472659674952665,-1.0471519403308185,6.766059779902966,2.0506204026988115
1.0473514878686023,-1.0470949267485945,6.76714114720734,2.050946323258653
1.0474712163912725,-1.047015107733481,6.768313147766786,2.0512744138192303
1.0476251530632772,-1.046912483285478,6.7695757202783025,2.051604670794394
1.0478132978846162,-1.0467870534045853,6.770928795539147,2.0519370931801117
1.0480356508552895,-1.046638818090803,6.772372296429461,2.0522716825486658
1.048292211975297,-1.0464677773441313,6.773906137892501,2.052608443042119
1.048582981244639,-1.04627393116457,6.775530226912506,2.052947381365039
1.0489079586633152,-1.046057279552119,6.7772444624901995,2.053288506776492
1.049267144231326,-1.0458178225067787,6.779048735615893,2.0536318310813
1.049660537948671,-1.0455555600285487,6.780942929240261,2.053977368620561
1.0500881398153503,-1.0452704921174292,6.782926918242731,2.054325136261432
1.050549949831364,-1.04496261877342,6.785000569397516,2.0546751533861802
1.051045967996712,-1.0446319399965214,6.787163741337299,2.0550274418804855
1.0515761943113942,-1.044278455786733,6.789416284514569,2.055382026121013
1.052140628775411,-1.0439021661440553,6.791758041160607,2.0557389329622398
1.052739271388762,-1.043503071068488,6.794188845242131,2.056098191722541
1.0533721221514474,-1.0430811705600311,6.79670852241561,2.0564598341695377
1.054039181063467,-1.0426364646186848,6.799316889979261,2.056823894504693
1.054740448124821,-1.0421689532444487,6.802013756822696,2.057190409347172
1.0554759233355093,-1.0416786364373232,6.804798923374283,2.057559417716947
1.0562456066955321,-1.041165514197308,6.807672181546191,2.0579309610171643
1.0570494982048892,-1.0406295865244033,6.810633314677116,2.0583050830157505
1.0578875978635807,-1.040070853418609,6.813682097472742,2.058681829826281
1.0587599056716064,-1.0394893148799251,6.816818295943898,2.059061249888082
1.0596664216289664,-1.0388849709083519,6.820041667342446,2.059443393945595
1.0606071457356607,-1.038257821503889,6.8233519600949055,2.059828315026974
1.0615820779916894,-1.0376078666665365,6.826748913733811,2.060216068421928
1.0625912183970525,-1.0369351063962944,6.830232258826829,2.0606067116588136
1.06363456695175,-1.0362395406931628,6.8338017169036425,2.0610003044809546
1.0647121236557817,-1.0355211695571416,6.837457000380591,2.061396908822214
1.0658238885091478,-1.0347799929882309,6.8411978124831165,2.0617965887817897
1.0669698615118481,-1.0340160109864305,6.845023847165994,2.0621994105982613
1.0681500426638828,-1.0332292235517406,6.848934789031373,2.062605442622853
1.069364431965252,-1.0324196306841613,6.852930313244646,2.063014755291947
1.0706130294159555,-1.0315872323836923,6.857010085448136,2.0634274210988193
1.0718958350159933,-1.0307320286503339,6.861173761672653,2.0638435145645997
1.0732128487653654,-1.0298540194840857,6.865420988246903,2.0642631122084745
1.0745640706640718,-1.0289532048849481,6.86975140170477,2.0646862925171097
1.0759495007121125,-1.0280295848529208,6.874164628690503,2.0651131359132973
1.0773691389094877,-1.027083159388004,6.878660285861801,2.065543724723833
1.0788229852561972,-1.026113928490198,6.883237979790827,2.065978143146617
1.080311039752241,-1.025121892159502,6.887897306863177,2.066416477216977
1.0818333023976192,-1.0241070503959167,6.892637853174781,2.066858814773217
1.0833897731923317,-1.0230694031994416,6.8974591944268155,2.067305245421387
